HCG ra dec z err_z Dist(Mpc) mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_k e_mag_k ext_g ext_r ext_i cork_g cork_r cork_i cork_k Mag_g e_Mag_g Mag_r e_Mag_r Mag_i e_Mag_i Mag_Ks e_Mag_Ks log_SM(H0=70) e_log(SM) R50(arcsec) e_R50(arcsec) R50(kpc) e_R50(kpc) ELLIPTICITY THETA_IMAGE a(arcsec) e_a(arcsec) b(arcsec) e_b(arcsec)
      HCG15d   31.9062    2.1807   0.02083   0.00012    88.843  14.6139   0.0016  13.8472   0.0013  13.4092   0.0014  13.2400   0.0640  0.1140  0.0827  0.0627   0.0392   0.0301   0.0202  -0.0367  -20.3271   0.0016  -21.0534   0.0013  -21.4615   0.0014  -21.5112   0.0640   10.523    0.026   9.044   0.013   3.816   0.006  0.156 -39.10 37.249  0.055 31.426  0.048
      HCG15e   31.8553    2.1161   0.02401   0.00011   102.329  15.0619   0.0016  14.2760   0.0014  13.8927   0.0016  13.4460   0.0760  0.1123  0.0815  0.0618   0.0478   0.0383   0.0196  -0.0427  -20.1997   0.0016  -20.9453   0.0014  -21.2902   0.0016  -21.6128   0.0760   10.455    0.030   5.897   0.010   2.857   0.005  0.123 -32.40 23.927  0.041 20.994  0.036
      HCG15f   31.9075    2.1904   0.02082   0.00034    88.813  15.7777   0.0036  15.2281   0.0038  14.8945   0.0044  15.2960   0.2420  0.1142  0.0828  0.0628   0.0214   0.0203   0.0088  -0.0400  -19.1451   0.0036  -19.6621   0.0038  -19.9642   0.0044  -19.4511   0.2420    9.876    0.097   9.087   0.030   3.833   0.013  0.384 -83.80 34.267  0.114 21.100  0.073
      HCG16a   32.3525  -10.1359   0.01359   0.00003    58.047  12.7600   0.0004  12.0164   0.0003  11.6468   0.0003  10.7970   0.0180  0.0966  0.0701  0.0531   0.0202   0.0220   0.0122  -0.0242  -21.2050   0.0004  -21.9239   0.0003  -22.2667   0.0003  -23.0270   0.0180   10.794    0.007   8.880   0.005   2.466   0.001  0.197 -79.70 38.969  0.020 31.301  0.015
      HCG16b   32.3368  -10.1331   0.01289   0.00003    55.078  13.3227   0.0007  12.4914   0.0004  12.0782   0.0004  11.3230   0.0260  0.0966  0.0701  0.0531   0.0240   0.0217   0.0139  -0.0228  -20.5307   0.0007  -21.3330   0.0004  -21.7216   0.0004  -22.3869   0.0260   10.602    0.010   8.813   0.005   2.323   0.001  0.515  -6.70 43.210  0.026 20.953  0.014
      HCG16c   32.4105  -10.1467   0.01284   0.00000    54.886  13.3768   0.0005  12.7080   0.0004  12.4308   0.0006  11.5930   0.0230  0.0966  0.0701  0.0532   0.0161   0.0184   0.0070  -0.0240  -20.4609   0.0005  -21.1055   0.0004  -21.3544   0.0006  -22.1081   0.0230   10.385    0.009   6.416   0.005   1.686   0.001  0.225  -9.10 31.950  0.026 24.746  0.020
      HCG17a   33.5213   13.3111   0.06080   0.00015   256.972  16.1540   0.0041  15.1956   0.0026  14.6543   0.0028  13.1880   0.0740  0.4411  0.3199  0.2426   0.1425   0.0999   0.0519  -0.1040  -21.6072   0.0041  -22.4018   0.0026  -22.8178   0.0028  -23.8856   0.0740   11.079    0.030   5.273   0.016   6.193   0.018  0.153 -55.30 20.176  0.060 17.095  0.048
      HCG17b   33.5160   13.3131   0.06010   0.00010   254.067  16.1543   0.0041  15.1337   0.0028  14.6473   0.0030 -99.0000 -99.0000  0.4392  0.3185  0.2415   0.1671   0.0777   0.0508 -99.0000  -21.6034   0.0041  -22.4140   0.0028  -22.7965   0.0030  -99.0000 -99.0000   11.121    0.002   6.288   0.020   7.306   0.023  0.190 -52.90 22.276  0.071 18.036  0.056
      HCG17c   33.5209   13.3173   0.06079   0.00035   256.917  16.6708   0.0053  15.6312   0.0037  15.1148   0.0038  14.4330   0.1110  0.4406  0.3195  0.2423   0.1790   0.0798   0.0529  -0.1099  -21.1259   0.0053  -21.9453   0.0037  -22.3575   0.0038  -22.6342   0.1110   10.950    0.045   5.028   0.019   5.903   0.023  0.233 -33.70 18.996  0.073 14.562  0.058
      HCG17d   33.5316   13.3066   0.05833   0.00007   246.670  18.0036   0.0084  17.0232   0.0058  16.6360   0.0060  15.6830   0.2170  0.4455  0.3231  0.2450   0.1529   0.0528   0.0344  -0.1169  -19.6785   0.0084  -20.4364   0.0058  -20.7271   0.0060  -21.2838   0.2170   10.310    0.087   1.626   0.011   1.837   0.012  0.148 -16.60  6.886  0.046  5.865  0.039
      HCG17e   33.5175   13.3191   0.05996   0.00047   253.467  18.4919   0.0123  17.5194   0.0086  16.9699   0.0092 -99.0000 -99.0000  0.4392  0.3186  0.2416   0.1416   0.1020   0.0557 -99.0000  -19.2350   0.0123  -20.0472   0.0086  -20.4734   0.0092  -99.0000 -99.0000   10.142    0.007   2.031   0.019   2.355   0.022  0.192  18.60  7.989  0.075  6.455  0.062
      HCG21d   41.3732  -17.5423   0.02907   0.00015   123.766  14.0670   0.0012  13.2200   0.0008  12.7920   0.0008  12.0770   0.0350  0.0912  0.0662  0.0502   0.0662   0.0493   0.0283  -0.0504  -21.6157   0.0012  -22.4207   0.0008  -22.8117   0.0008  -23.3978   0.0350   11.081    0.014   7.455   0.008   4.347   0.004  0.053  -2.40 32.745  0.033 31.004  0.031
      HCG21e   41.3435  -17.5332   0.02942   0.00011   125.233  14.4860   0.0017  13.7226   0.0010  13.3143   0.0011  12.5120   0.0480  0.0948  0.0688  0.0521   0.0542   0.0521   0.0242  -0.0508  -21.2145   0.0017  -21.9498   0.0010  -22.3136   0.0011  -22.9888   0.0480   10.844    0.019   7.112   0.009   4.195   0.005  0.251  -1.70 30.619  0.038 22.919  0.029
      HCG25a   50.1789   -1.1086   0.02097   0.00010    89.424  14.3436   0.0011  13.8922   0.0010  13.6236   0.0014  13.2840   0.0760  0.2738  0.1986  0.1506   0.0017   0.0325   0.0027  -0.0380  -20.7342   0.0011  -21.1412   0.0010  -21.3320   0.0014  -21.4803   0.0760   10.335    0.030  11.614   0.015   4.932   0.006  0.581  58.70 54.064  0.069 22.638  0.028
      HCG25b   50.1892   -1.0447   0.02112   0.00003    90.074  14.3930   0.0012  13.5374   0.0007  13.1002   0.0008  12.2470   0.0430  0.2692  0.1952  0.1480   0.0407   0.0383   0.0205  -0.0366  -20.7353   0.0012  -21.5145   0.0007  -21.8867   0.0008  -22.5348   0.0430   10.675    0.017   6.983   0.006   2.986   0.003  0.421  82.20 38.040  0.035 22.029  0.023
      HCG25d   50.1606   -1.0350   0.02109   0.00007    89.942  15.8322   0.0018  15.1119   0.0012  14.7628   0.0013  14.2060   0.0830  0.2638  0.1914  0.1451   0.0302   0.0347   0.0115  -0.0384  -19.2769   0.0018  -19.9293   0.0012  -20.2090   0.0013  -20.5707   0.0830    9.955    0.033   2.719   0.005   1.161   0.002  0.342  20.10 11.488  0.022  7.561  0.015
      HCG26e   50.4630  -13.6633   0.03210   0.00017   136.567  17.5724   0.0056  17.1422   0.0059  16.8660   0.0077 -99.0000 -99.0000  0.2227  0.1615  0.1225   0.0077   0.0585  -0.0054 -99.0000  -18.4033   0.0056  -18.8231   0.0059  -18.9964   0.0077  -99.0000 -99.0000    9.390    0.004   3.350   0.021   2.149   0.014  0.608 -42.00 14.106  0.090  5.531  0.034
      HCG26f   50.4898  -13.6629   0.03211   0.00015   136.609  18.2184   0.0081  17.8004   0.0094  17.5733   0.0131 -99.0000 -99.0000  0.2226  0.1615  0.1224   0.0099   0.0547  -0.0147 -99.0000  -17.7601   0.0081  -18.1618   0.0094  -18.2804   0.0131  -99.0000 -99.0000    9.068    0.007   1.875   0.020   1.203   0.013  0.236  18.70  7.073  0.074  5.399  0.057
      HCG31q   75.4098   -4.2224   0.01364 -99.00000    58.290  16.2983   0.0039  15.9112   0.0050  15.7691   0.0070 -99.0000 -99.0000  0.1892  0.1372  0.1041  -0.0025   0.0173  -0.0019 -99.0000  -17.7458   0.0039  -18.1007   0.0050  -18.1905   0.0070  -99.0000 -99.0000    8.998    0.004   5.372   0.029   1.498   0.008  0.206 -47.60 18.573  0.099 14.738  0.081
      HCG35a  131.3390   44.5206   0.05310   0.00013   224.823  15.7970   0.0031  14.8955   0.0017  14.4513   0.0018  13.5560   0.0590  0.0999  0.0725  0.0550   0.1410   0.0742   0.0463  -0.0958  -21.3155   0.0031  -22.1227   0.0017  -22.5215   0.0018  -23.2198   0.0590   10.998    0.024   3.378   0.007   3.497   0.007  0.606  67.40 20.858  0.045  8.210  0.020
      HCG35b  131.3360   44.5089   0.05450   0.00011   230.667  15.1916   0.0027  14.2526   0.0014  13.8218   0.0016  13.0340   0.0640  0.0999  0.0724  0.0549   0.1551   0.0710   0.0485  -0.0996  -21.9935   0.0027  -22.8209   0.0014  -23.2118   0.0016  -23.7966   0.0640   11.292    0.026   6.410   0.011   6.798   0.012  0.054  57.70 25.857  0.046 24.460  0.044
      HCG35c  131.3270   44.5277   0.05420   0.00083   229.422  15.7424   0.0029  14.8215   0.0015  14.3676   0.0018  13.5550   0.0780  0.0994  0.0721  0.0547   0.1473   0.0784   0.0500  -0.0968  -21.4221   0.0029  -22.2468   0.0015  -22.6548   0.0018  -23.2659   0.0780   11.053    0.031   3.786   0.008   3.994   0.008  0.070  27.90 18.037  0.038 16.774  0.036
      HCG35d  131.3360   44.5397   0.05270   0.00013   223.134  16.5492   0.0052  15.6783   0.0024  15.2134   0.0025  14.1490   0.0810  0.1001  0.0726  0.0550   0.1271   0.0842   0.0460  -0.0927  -20.5323   0.0052  -21.3328   0.0024  -21.7420   0.0025  -22.6126   0.0810   10.659    0.032   3.623   0.010   3.724   0.010  0.646  12.30 19.292  0.051  6.827  0.018
      HCG35e  131.3360   44.5033   0.05574   0.00018   235.868  17.2328   0.0056  16.4245   0.0028  15.9874   0.0034 -99.0000 -99.0000  0.0999  0.0725  0.0550   0.1187   0.0810   0.0404 -99.0000  -19.9669   0.0056  -20.7101   0.0028  -21.0891   0.0034  -99.0000 -99.0000   10.379    0.003   1.607   0.007   1.741   0.008  0.371  19.80  8.452  0.038  5.314  0.023
      HCG35f  131.3370   44.5332   0.05447   0.00021   230.554  17.9924   0.0128  17.1016   0.0070  16.7498   0.0079 -99.0000 -99.0000  0.0998  0.0724  0.0549   0.1457   0.0525   0.0355 -99.0000  -19.1822   0.0128  -19.9523   0.0070  -20.2696   0.0079  -99.0000 -99.0000   10.127    0.007   2.090   0.015   2.216   0.016  0.223 -16.60  8.439  0.062  6.553  0.048
      HCG37b  138.3880   30.0001   0.02254   0.00008    96.116  14.4318   0.0013  13.5934   0.0008  13.1413   0.0009  12.4090   0.0390  0.1152  0.0836  0.0634   0.0457   0.0416   0.0249  -0.0380  -20.6915   0.0013  -21.4942   0.0008  -21.9094   0.0009  -22.5154   0.0390   10.696    0.016  12.658   0.011   5.768   0.005  0.846 -15.20 90.796  0.080 14.024  0.013
      HCG37d  138.3910   30.0158   0.02045   0.00006    87.242  16.1394   0.0027  15.4990   0.0026  15.1290   0.0029 -99.0000 -99.0000  0.1181  0.0856  0.0649   0.0184   0.0389   0.0166 -99.0000  -18.7446   0.0027  -19.3731   0.0026  -19.7001   0.0029  -99.0000 -99.0000    9.760    0.002   6.740   0.015   2.793   0.006  0.173   4.50 20.834  0.047 17.240  0.039
      HCG37e  138.3920   30.0398   0.02158   0.00006    92.026  16.4321   0.0029  15.6329   0.0023  15.2305   0.0024  14.6510   0.1200  0.1166  0.0845  0.0641   0.0418   0.0369   0.0198  -0.0377  -18.5921   0.0029  -19.3545   0.0023  -19.7193   0.0024  -20.1772   0.1200    9.815    0.048   4.004   0.010   1.749   0.004  0.021 -36.10 15.131  0.039 14.812  0.038
      HCG39a  142.3650   -1.3458   0.07045   0.00017   297.055  16.7231   0.0045  15.8208   0.0031  15.3863   0.0032  14.4200   0.1240  0.1256  0.0911  0.0690   0.1863   0.0889   0.0531  -0.1237  -21.1008   0.0045  -21.8712   0.0031  -22.2479   0.0032  -22.9683   0.1240   10.887    0.050   3.800   0.011   5.113   0.015  0.457  62.40 17.509  0.052  9.500  0.031
      HCG39b  142.3690   -1.3494   0.07064   0.00020   297.847  16.9977   0.0037  16.1217   0.0025  15.6577   0.0030  14.7390   0.1600  0.1256  0.0911  0.0691   0.1720   0.1017   0.0561  -0.1187  -20.8181   0.0037  -21.5893   0.0025  -21.9856   0.0030  -22.6605   0.1600   10.757    0.064   2.681   0.009   3.615   0.012  0.227 -72.10 12.775  0.044  9.876  0.028
      HCG39c  142.3720   -1.3525   0.06894   0.00012   290.803  17.0516   0.0035  16.3947   0.0028  16.0185   0.0034  15.5080   0.2620  0.1252  0.0908  0.0688   0.1071   0.0723   0.0152  -0.1242  -20.6435   0.0035  -21.2311   0.0028  -21.5284   0.0034  -21.8306   0.2620   10.507    0.105   2.877   0.008   3.794   0.011  0.240  49.50 10.785  0.031  8.196  0.023
